[Header]\r\n[Footer]\r\n[Header]\r\n2010-02-20 22:10:21,137 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:39,494 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:39,604 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:39,604 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:39,604 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:39,714 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:39,714 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:39,714 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:39,834 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:39,834 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:39,834 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:39,965 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:39,965 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:39,965 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:40,075 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:40,075 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:40,085 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:40,205 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:40,205 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:40,205 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:40,315 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:40,315 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:40,315 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:40,846 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:40,856 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:40,856 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:40,986 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:40,986 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:40,986 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:41,096 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:41,096 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:41,096 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:41,206 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:41,216 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:41,216 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:41,327 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:41,327 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:41,327 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:41,447 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:41,447 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:41,447 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:41,567 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:41,567 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:41,567 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:41,687 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:41,687 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:41,687 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:41,807 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:41,817 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:41,817 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:41,927 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:41,927 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:41,937 [1] INFO  PDFv2.connect Closed
