[Header]\r\n[Footer]\r\n[Header]\r\n2010-02-20 22:10:21,137 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:45,548 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:45,548 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:45,678 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:45,678 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:45,678 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:45,798 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:45,798 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:45,808 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:45,939 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:45,939 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:45,939 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:46,049 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:46,049 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:46,049 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:46,199 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:46,199 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:46,199 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:46,409 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:46,409 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:46,409 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:46,579 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:46,579 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:46,579 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:46,700 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:46,700 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:46,700 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:46,900 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:46,900 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:46,900 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:47,050 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:47,050 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:47,050 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:47,260 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:47,260 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:47,260 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:47,381 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:47,381 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:47,381 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:47,501 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:47,511 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:47,511 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:47,621 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:47,631 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:47,631 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:47,761 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:47,761 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:47,761 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:47,871 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:47,881 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:47,881 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:48,012 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:48,012 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:48,012 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:48,132 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:48,132 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:48,132 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:48,272 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:48,272 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:48,272 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:48,412 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:48,412 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:48,412 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:48,552 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:48,552 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:48,552 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:48,682 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:48,682 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:48,682 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:48,803 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:48,803 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:48,803 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:48,923 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:48,933 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:48,933 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:49,113 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:49,113 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:49,113 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:49,243 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:49,243 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:49,243 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:49,444 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:49,444 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:49,444 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:49,574 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:49,574 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:49,574 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:49,704 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:49,704 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:49,704 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:49,824 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:49,834 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:49,834 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:49,964 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:49,964 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:49,964 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:50,074 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:50,085 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:50,085 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:50,215 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:50,215 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:50,215 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:50,345 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:50,345 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:50,345 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:50,495 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:50,495 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:50,495 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:50,645 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:50,645 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:50,645 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:50,786 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:50,786 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:50,796 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:50,906 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:50,906 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:50,906 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:51,136 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:51,136 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:51,136 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:51,266 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:51,266 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:51,266 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:51,416 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:51,416 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:51,416 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:51,537 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:51,537 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:51,537 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:51,677 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:51,677 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:51,677 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:51,797 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:51,807 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:51,807 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:51,927 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:51,927 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:51,927 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:52,047 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:52,047 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:52,047 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:52,157 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:52,157 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:52,157 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:52,278 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:52,278 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:52,278 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:52,408 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:52,408 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:52,418 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:52,548 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:52,548 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:52,558 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:52,668 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:52,668 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:52,668 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:52,798 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:52,798 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:52,798 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:52,989 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:52,989 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:52,989 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:53,199 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:53,199 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:53,209 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:53,309 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:53,319 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:53,319 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:53,429 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:53,439 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:53,439 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:53,560 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:53,560 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:53,560 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:53,700 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:53,710 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:53,720 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:53,850 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:53,850 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:53,850 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:53,970 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:53,970 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:53,970 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:54,100 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:54,100 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:54,100 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:54,220 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:54,220 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:54,220 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:54,361 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:54,361 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:54,361 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:54,491 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:54,491 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:54,491 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:54,611 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:54,621 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:54,631 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:54,761 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:54,771 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:54,771 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:55,112 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:55,112 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:55,112 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:55,282 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:55,282 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:55,282 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:55,402 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:55,402 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:55,402 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:55,532 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:55,532 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:55,532 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:55,693 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:55,693 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:55,703 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:55,813 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:55,833 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:55,833 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:55,963 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:55,963 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:55,963 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:56,093 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:56,093 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:56,093 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:56,233 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:56,233 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:56,233 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:56,354 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:56,354 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:56,354 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:56,484 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:56,494 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:56,494 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:56,634 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:56,634 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:56,634 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:56,774 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:56,774 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:56,784 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:56,894 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:56,894 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:56,894 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:57,505 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:57,505 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:57,505 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:57,675 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:57,685 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:57,685 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:57,796 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:57,796 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:57,796 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:57,906 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:57,916 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:57,916 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:58,036 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:58,036 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:58,036 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:58,146 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:58,156 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:58,156 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:58,286 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:58,286 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:58,286 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:58,427 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:58,427 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:58,427 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:58,547 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:58,547 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:58,547 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:58,667 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:58,667 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:58,667 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:58,787 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:58,797 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:58,797 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:58,917 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:58,917 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:58,917 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:59,027 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:59,027 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:59,027 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:59,148 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:59,158 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:59,158 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:59,578 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:59,578 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:59,578 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:59,718 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:59,718 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:59,718 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:59,849 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:59,849 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:59,849 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:59,959 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:46:59,969 [1] INFO  PDFv2.connect Closed
2010-02-20 22:46:59,969 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:00,099 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:00,099 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:00,099 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:00,219 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:00,219 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:00,219 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:00,379 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:00,379 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:00,389 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:00,499 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:00,510 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:00,510 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:00,640 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:00,640 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:00,640 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:00,750 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:00,750 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:00,750 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:00,880 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:00,880 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:00,880 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:01,010 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:01,010 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:01,020 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:01,130 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:01,130 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:01,130 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:01,261 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:01,261 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:01,261 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:01,761 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:01,761 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:01,761 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:01,902 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:01,902 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:01,902 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:02,022 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:02,022 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:02,032 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:02,162 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:02,162 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:02,162 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:02,292 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:02,292 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:02,292 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:02,412 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:02,412 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:02,412 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:02,552 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:02,552 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:02,552 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:02,693 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:02,703 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:02,703 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:02,823 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:47:02,823 [1] INFO  PDFv2.connect Closed
2010-02-20 22:47:02,823 [1] INFO  PDFv2.connect Closed
[Header]\r\n[Footer]\r\n[Header]\r\n2010-02-20 22:51:52,019 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:51:52,049 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:52,049 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:52,169 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:51:52,169 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:52,169 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,484 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:51:55,484 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,484 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,494 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:51:55,494 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,494 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,504 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:51:55,504 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,504 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,564 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:51:55,564 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,564 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,574 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:51:55,574 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,574 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,724 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:51:55,724 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,724 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,724 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:51:55,734 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,734 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,834 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:51:55,844 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,844 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,844 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:51:55,844 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,844 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,944 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:51:55,944 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,944 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,954 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:51:55,954 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:55,954 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:56,075 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:51:56,075 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:56,075 [1] INFO  PDFv2.connect Closed
2010-02-20 22:51:56,085 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:51:56,085 [1] INFO  PDFv2.connect Closed
